ID,post_date,post_title,post_status,post_id,address,bolig_desc,bolig_price,bolig_rooms,bolig_type,bolig_year_build,boligareal,city,energy_label,grundareal,latitude,longitude,post_code,database
35873,2024-09-23 10:58:33,Bolig 35873,draft,35873,"Hjertegræsbakken 11, 8930 Randers NØ",Stor god grund med tilslutning og tegninger til villa på. Så det er bare og gå igang med at bygge. Ligger super godt i et nybygget område tæt på alle dagligdagens fornøjeligheder. ,795000,0,Grund,0,0,Randers NØ,,837,56.47673295,10.10412678,8930,nov_dump1
28439,2024-03-30 09:04:30,Bolig 28439,publish,28439,"Skovbyvej 13, Andkær, 7080 Børkop","Vi er ved at sætte vores hus i Andkær til salg. 
Huset er fra 2005 og i 2 plan. Nederste etage er pudset mur, øverste træ. 
165m2 beboelse
3 værelser
2 badeværelser
Stort køkken-alrum 
Vaskerum
Stor gang i nederste etage
100m2 stald/værksted
6000m2 grund
300 meter til friskole og børnehave. 
Egen lille sø
Velanlagt have
Flere terrasser med udsigt ud over egen grund, samt omkringliggende marker. 
",2600000,3,Landejendom,2005,165,Børkop,C,6000,55.66866424,9.62871515,7080,nov_dump1
28458,2024-03-30 15:40:28,Bolig 28458,publish,28458,"Frisenborgvænget 25, Smidstrup, 7000 Fredericia","Beliggende i Vejle Kommune

Velindrettet fuldmuret Preben Jørgensen villa på 227 kvm. 169 kvm bolig) fra 2007 på 976 m2 stor grund. Indeholdende stort køkken-alrum, viktualierum, 2 gode børneværelser, 2 badeværelser, kontor, forældresoveværelse og dejlig stor lys stue. Fra både køkken-alrum og stue, er der flot lysindfald fra de store vinduespartier, vendt ud mod den syd-vest vendte terrasse.

Opvokset og indhegnet have med stort drivhus, nyttehave og samtidig plads til at børnene kan spille bold og hoppe i trampolin. I drivhuset kan det tidlige forår eller sensommeren nydes i skyggen af vindrueklaserne.

Når man kommer til ejendommen køres der direkte ind i den dobbelte integrerede carport. Fra carporten er der direkte indgang til bryggers, og stort isoleret værksted. Carport og værksted er på 57,7 kvm. 

Ejendommen er beliggende for enden af lukket vænge, med grønne fællesområder med legeplads og bålhytte. I gåafstand fra integreret instiution, skole, sportsfaciliteter og indkøb. 

Grunden ligger forhøjet fra vejniveau og højt i området generelt, så man undgår problemer med vand.

Ejendommen er beliggende i Smidstrup midt i trekantsområdet få km syd for Vejle, med nem adgang til motorvej. Via landevej er der kort køretid til både Kolding og Frederica.

Der er fradrag for forbedringer på grunden, som reducerer ejendomsskatten væsentligt.

Ved interesse kontakt os gerne for flere billeder eller fremvisning af ejendommen.",2565000,6,Villa,2007,169,Fredericia,Ikke relevant,976,55.61491471,9.56270803,7000,nov_dump1
28487,2024-03-31 14:01:19,Bolig 28487,publish,28487,"Rosenørnsvej 7, 5230 Odense M","Vi sætter snart vores murermestervilla til salg i på Rosenørnsvej i Munkebjergkvarteret.

- Totaltrenoveret
- 160 kvm fordelt på to etager
- 85 kvm kælder i boligkvalitet
- Køkken-alrum
- Toilet på alle tre etager
- Tre soveværelser, walkin og kontor

(Bortset fra kælderen, er alt renoveret inden for de sidste tre år.)",6475000,5,Villa,1936,160,Odense M,Ikke relevant,524,55.38618139,10.39994241,5230,nov_dump1
28521,2024-04-01 17:07:19,Bolig 28521,publish,28521,"Seestvej 21, Seest, 6000 Kolding","Charmerende byhus beliggende i Seest. Huset rummer stort køkken allerum i stuen, stort bad og direkte udgang til haven. Ovenpå finder du 3 gode værelser med store vinduer. 
Huset er flot renoveret, med nye bad og køkken. 
Udendørs finder du en gård-lignende have med stor terrasse, delvist overdækket samt et aneks med vaskerum.

Skriv endelig for interesse - vi giver altid en kop kaffe og en fremvisning :-) ",2250000,5,Villa,,119,Kolding,C,,55.48590263,9.44494557,6000,nov_dump1
28548,2024-04-01 18:28:48,Bolig 28548,publish,28548,"Fiskenes Kvarter 23, 6710 Esbjerg V","Vi sælger hermed vores dejlig andels bolig i Sønderris 

Den ligger i dejlig foregning med sund økonomi.

I fiskenes kvarter 23 

Boligen er 82 kvm 

Hvorefter der så er lavet en ude stue på ca 15 kvm

Samt en hems på 16 kvm 

Har fået ny ovn med pyrolyse samt ny bordplade og opvaske maskine 
Samt kogeplade i 2023 

Boligen byder på et dejlig køkken-alrum 

Med 1 sove værelse og 1 børne værelse 

Udover det har du hems og udestuen 

Der er en lille dejlig have med til hvor der er træ terrasse i det hele samt plankeværk så ingen have arbejde 

Hus dyr er tilladt i foreningen

Dejlig sted hvis man har børn da vi har egen legeplads i foreningen

Samt mange andre børn 

Fælles udgifterne ligger på ca 3600 kr 

Det er med vand og varme aconto samt 
Tømning af skralde spande 
Forsikringer i form af skjulte rør osv 
Samt taget 

Skriv eller ring på 20941632 eller her på gavebook for yderlige information  
",583000,4,Andelsbolig,,82,Esbjerg V,B,,55.51713995,8.41701249,6710,nov_dump1
28577,2024-04-01 19:49:07,Bolig 28577,publish,28577,"Plutovej 27, 7100 Vejle","**UHRHØJ VEJLE**
Bolig tæt på skole, sportshal og indkøbsmuligheder er på vej på markedet!

- Renoveret 60'er villa der fremstår helt indflytningsklar 
- 3 værelser, 1 badeværelse, men 2 toiletter
- Kæmpe køkken alrum
- Fin garage med masser af opbevaringsplads
- Fantastisk sydvendt terrasse med dejlig udsigt",3495000,3,Villa,1966,148,Vejle,C,770,55.72162376,9.51074532,7100,nov_dump1
28610,2024-04-02 08:46:02,Bolig 28610,publish,28610,"Skellet 11, 8700 Horsens","Villaen er gennemgribende renoveret, så det stort set kun er sokkel og ydervæggene tilbage fra huset blev opført. Vinduerne i næsten hele huset er skiftet til træ/alu fra Velfac, nyere Svane køkken fra 2015 i tidløst design samt nyt bryggers fra 2023. Badeværelserne er hhv. etableret og total renoveret i 2018/19 - herudover er der filt på væggene samt nye gulve i hele huset, alt udvendig beklædning er skiftet til vedligeholdelses frit fibercement i 2023 og der er helt nyt tag, så der i dag, er et helt opdateret og moderne hus med en indretning uden spildplads. Der er seperatkloakeret og indeklimaet er sikret med efterisoleret loft, varme genvendingsanlæg i alle rum samt fjernvarme - bemærk energimærket ""B"".

Boligen byder velkommen i den lyse entre, med god plads og skabsvæg med skydelåger, Rigtig flot køkken/alrum, som fungerer som husets hjerte. Her kan familien samles og hygge sig med madlavning eller gæster. Alrummet ligger i åben forbindelse med stuen, hvorfra der er udgang til sydvestvendt træterrasse. Ydermere er der 2 flotte badeværelse - et med bruseniche og det andet med badekar, to store børneværelser med indbygningsskab samt soveværelse med skabsvæg. Gulvvarme i badeværelserne samt bryggers.
Herudover er der muret garage/udhus på i alt 53 m2 - perfekt til hobbyrum.

Huset og garagens placering på grunden giver et ugenert syd/vestvendt gårdmiljø med en skøn træterrasse og pergola - herfra udsigt over haven der ligger skønt ud til de grønne arealer hvor du kan få besøg af en af de græssende heste.

Er til salg som skuffesalg hos Nybolig Horsens Bjerrevej",2495000,3,Villa,1977,121,Horsens,B,1113,55.89918506,9.7555435,8700,nov_dump1
28620,2024-04-02 12:02:15,Bolig 28620,publish,28620,"Horsensvej 38, Gl. Rye, 8680 Ry","Fantastisk hus og helt unik, multifunktionel hal midt i Gl. Ryes smukke natur og vidunderlige landsbyliv.

✨ En gennemrenoveret og mega fed hal på 320 m2 fyldt med charme og uendelige muligheder for musik, business, fællesskab og at udleve store drømme. 

✨Et sundt og dejligt hus på 164 m2 med stor lys stue, 4 værelser og en praktisk planløsning

✨En kæmpe have med terrasse, legetårn, gyngestativ, bålsted og plads til masser af dyrkning, liv og aktiviteter

✨En grund på 3200 m2 med uendelige muligheder for udfoldelse af enhver art. 

Hvis det har interesse, så tag fat i os på 28198100 / louise@medskab.dk eller 20687441 / eddijarl@gmail.com.",,4,Villa,1973,164,Ry,C,3200,56.06727986,9.69377381,8680,nov_dump1
28712,2024-04-03 15:47:07,Bolig 28712,publish,28712,"Mosegårdsvej 35, 5000 Odense C","Villa er oprindelig en 2-families ejendom, hvorfor der er køkkener på begge etager. 

Købsaftale laves af ejedomsmægler.

Kælder 103m2 i flot boligkvalitet med gulvvarme i bad/toilet og køkken.
2 værelser
2 depot rum.
F.eks. perfekt til den store teenager som lejlighed eller kan anvendes som AIRBNB

Stuen 114m2 + udestue på 18m2.

1 toilet/bad med gulvvarme.
2 værelser det ene med walk in closet.
1 kontor/værelse
1 Stue med gulvvarme. 
Køkken med spiseplads og gulvvarme.
1 udestue 
Super Hyggelig lukket gårdhave med dejlig sydvendt terrasse og lille drivhus.

1.Sal 87m2
Køkken-alrum år 2017.
Odenses flotteste 25m2 sydvendt tagterrasse med flotte granitfliser.
1 toilet/bad - med gulvvarme.
1 stue 
1 soværelse.

Sal
2 værelser/kontor/loftrum 
1 toilet

2 garager.

Beliggenheden er det skønne populære Skibhus, hvor du har kort afstand til Ring 2, byens centrum og 365 discount og REMA, hvilket gør hverdagen let og tilgængelig. I kvarteret er det nemt at komme rundt til alt indenfor en rimelig afstand om det er gå- eller cykelafstand. Der er skønne skovområder, caféer, legepladser og 2 tennisbaner tæt på og meget mere.



Mobil 91 86 08 04
Mail: svanevej@live.dk

",2995000,6,Villa,1939,201,Odense C,D,,55.41032832,10.40278315,5000,nov_dump1
